country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,-7.264241,-4.401231,-2.86301
Cyprus,avoiding a fare on public transport,-0.5822041553748871,-6.6395216,-5.8618,-0.77772105
Cyprus,stealing property,-0.898989898989899,-6.845221,-5.112848,-1.7323735
Cyprus,cheating on taxes,-0.8644713261648745,-7.0234785,-5.1755857,-1.8478935
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,-7.332498,-6.2203865,-1.1121119
Cyprus,homosexuality,-0.39444444444444443,-7.254655,-6.2827578,-0.97189677
Cyprus,prostitution,-0.7247097844112769,-7.8834524,-6.9114785,-0.97197455
Cyprus,abortion,-0.551994301994302,-6.7957315,-6.11769,-0.6780407
Cyprus,divorce,-0.06657436252451827,-7.14488,-6.8220367,-0.32284373
Cyprus,sex before marriage,-0.09383249340052796,-7.075544,-6.157121,-0.91842335
Cyprus,suicide,-0.8317426652527397,-7.039448,-6.169674,-0.8697734
Cyprus,euthanasia,-0.617310443490701,-6.5469804,-5.652679,-0.89430064
Cyprus,for a man to beat his wife,-0.9285473542298618,-6.754036,-5.060842,-1.6931942
Cyprus,parents beating children,-0.894500561167228,-6.314377,-4.747846,-1.5665306
Cyprus,violence against other people,-0.905656159177286,-7.5616813,-6.3323045,-1.229377
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,-7.114286,-5.6838126,-1.4304727
Cyprus,having casual sex,-0.5917642882499113,-6.6950808,-5.201755,-1.4933258
Cyprus,political violence,-0.9269776876267748,-8.33082,-8.294771,-0.03604903
Cyprus,death penalty,-0.6278858182645286,-7.066184,-6.240608,-0.8255755
Ecuador,claiming government benefits to which you are not entitled,-0.2355103194797851,-7.1504045,-4.1567945,-2.993609
Ecuador,avoiding a fare on public transport,-0.33928903778150005,-6.589461,-5.530146,-1.059315
Ecuador,stealing property,-0.7960171226502885,-6.941996,-5.051843,-1.8901527
Ecuador,cheating on taxes,-0.7032668726013293,-7.021898,-5.0245924,-1.9973055
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,-7.1802635,-5.9571924,-1.2230711
Ecuador,homosexuality,-0.398976735206101,-7.227777,-6.1439676,-1.0838101
Ecuador,prostitution,-0.451775683138151,-7.857609,-6.8042502,-1.0533584
Ecuador,abortion,-0.6555274735561172,-6.8122687,-6.066147,-0.746122
